match_id,player_slot,ability_id,level
7083305097,1,5023,1
7083305097,1,5024,2
7083305097,1,5025,3
7083305097,1,5023,4
7083305097,1,5023,5
7083305097,1,5026,6
7083305097,1,5023,7
7083305097,1,5025,8
7083305097,1,5025,9
7083305097,1,744,10
7083305097,1,5025,11
7083305097,1,5026,12
7083305097,1,5024,13
7083305097,1,5024,14
7083305097,1,858,15
7083305097,1,5024,16
7083305097,1,5026,17
7083305097,1,6511,18
7082722396,131,5023,1
7082722396,131,5024,2
7082722396,131,5025,3
7082722396,131,5023,4
7082722396,131,5023,5
7082722396,131,5026,6
7082722396,131,5023,7
7082722396,131,5025,8
7082722396,131,5025,9
7082722396,131,5025,10
7082722396,131,5024,11
7082722396,131,5026,12
7082204525,0,5023,1
7082204525,0,5024,2
7082204525,0,5025,3
7082204525,0,5023,4
7082204525,0,5025,5
7082204525,0,5026,6
7082204525,0,5025,7
7082204525,0,5025,8
7082204525,0,5023,9
7082204525,0,5023,10
7082204525,0,744,11
7082204525,0,5026,12
7082204525,0,5024,13
7082204525,0,5024,14
7082204525,0,858,15
7082204525,0,5024,16
7081372567,0,5024,1
7081372567,0,5025,2
7081372567,0,5024,3
7081372567,0,5025,4
7081372567,0,5023,5
7081372567,0,5026,6
7081372567,0,5024,7
7081372567,0,5024,8
7081372567,0,5025,9
7081372567,0,5025,10
7081372567,0,706,11
7081372567,0,5026,12
7081372567,0,5023,13
7081372567,0,5023,14
7081372567,0,918,15
7081372567,0,5023,16
7081318183,0,5023,1
7081318183,0,5024,2
7081318183,0,5025,3
7081318183,0,5023,4
7081318183,0,5023,5
7081318183,0,5026,6
7081318183,0,5023,7
7081318183,0,5025,8
7081318183,0,5025,9
7081318183,0,744,10
7081318183,0,5025,11
7081318183,0,5026,12
7081318183,0,5024,13
7081318183,0,5024,14
7081318183,0,5024,15
7081318183,0,858,16
7081318183,0,5026,17
7080700633,0,5024,1
7080700633,0,5023,2
7080700633,0,5024,3
7080700633,0,5025,4
7080700633,0,5024,5
7080700633,0,5026,6
7080700633,0,5025,7
7080700633,0,5024,8
7080700633,0,5025,9
7080700633,0,706,10
7080700633,0,5025,11
7080700633,0,5026,12
7080700633,0,5023,13
7080700633,0,918,14
7080700633,0,5023,15
7080700633,0,5023,16
7080674955,2,5023,1
7080674955,2,5024,2
7080674955,2,5025,3
7080674955,2,5025,4
7080674955,2,5023,5
7080674955,2,5026,6
7080674955,2,5023,7
7080674955,2,5025,8
7080674955,2,5025,9
7080674955,2,5023,10
7080674955,2,744,11
7080674955,2,5026,12
7080323641,4,5023,1
7080323641,4,5024,2
7080323641,4,5025,3
7080323641,4,5023,4
7080323641,4,5023,5
7080323641,4,5026,6
7080323641,4,5023,7
7080323641,4,5025,8
7080323641,4,5025,9
7080323641,4,744,10
7080323641,4,5025,11
7080323641,4,5026,12
7080323641,4,5024,13
7080323641,4,5024,14
7080323641,4,858,15
7080323641,4,5024,16
7080323641,4,5026,17
7080323641,4,6511,18
7080055687,1,5023,1
7080055687,1,5024,2
7080055687,1,5025,3
7080055687,1,5025,4
7080055687,1,5025,5
7080055687,1,5026,6
7080055687,1,5025,7
7080055687,1,5024,8
7080055687,1,5024,9
7080055687,1,5024,10
7080055687,1,5023,11
7080055687,1,5026,12
7080055687,1,5023,13
7080055687,1,5023,14
7080055687,1,858,15
7080055687,1,744,16
7080055687,1,5026,17
7080055687,1,6425,18
7079723265,4,5024,1
7079723265,4,5025,2
7079723265,4,5024,3
7079723265,4,5023,4
7079723265,4,5024,5
7079723265,4,5026,6
7079723265,4,5025,7
7079723265,4,5025,8
7079723265,4,5025,9
7079723265,4,5024,10
7079723265,4,706,11
7079723265,4,5026,12
7079723265,4,5023,13
7079723265,4,5023,14
7079723265,4,918,15
7079723265,4,5023,16
7079723265,4,5026,17
7079723265,4,6425,18
7079651268,0,5023,1
7079651268,0,5024,2
7079651268,0,5025,3
7079651268,0,5023,4
7079651268,0,5025,5
7079651268,0,5026,6
7079651268,0,5025,7
7079651268,0,5025,8
7079651268,0,5023,9
7079651268,0,5023,10
7079651268,0,744,11
7079651268,0,5026,12
7079651268,0,5024,13
